# LANG=zh_TW
上上	ㄕㄤˋ ㄕㄤˋ
上世	ㄕㄤˋ ㄕˋ
上冊	ㄕㄤˋ ㄘㄜˋ
上午	ㄕㄤˋ ㄨˇ
上士	ㄕㄤˋ ㄕˋ
上客	ㄕㄤˋ ㄎㄜˋ
上市	ㄕㄤˋ ㄕˋ
上師	ㄕㄤˋ ㄕ
上操	ㄕㄤˋ ㄘㄠ
上書	ㄕㄤˋ ㄕㄨ
上樹	ㄕㄤˋ ㄕㄨˋ
上次	ㄕㄤˋ ㄘˋ
上疏	ㄕㄤˋ ㄕㄨˋ
上石	ㄕㄤˋ ㄕˊ
上策	ㄕㄤˋ ㄘㄜˋ
上簇	ㄕㄤˋ ㄘㄨˋ
上網	ㄕㄤˋ ㄨㄤˇ
上蒼	ㄕㄤˋ ㄘㄤ
上課	ㄕㄤˋ ㄎㄜˋ
上課時	ㄕㄤˋ ㄎㄜˋ ㄕˊ
上課時數	ㄕㄤˋ ㄎㄜˋ ㄕˊ ㄕㄨˋ
上述	ㄕㄤˋ ㄕㄨˋ
上額	ㄕㄤˋ ㄜˊ
上顎	ㄕㄤˋ ㄜˋ
世上	ㄕˋ ㄕㄤˋ
世世	ㄕˋ ㄕˋ
世事	ㄕˋ ㄕˋ
世務	ㄕˋ ㄨˋ
世叔	ㄕˋ ㄕㄨˊ
世母	ㄕˋ ㄇㄨˇ
世貿	ㄕˋ ㄇㄠˋ
事事	ㄕˋ ㄕˋ
事事物物	ㄕˋ ㄕˋ ㄨˋ ㄨˋ
事務	ㄕˋ ㄨˋ
事勢	ㄕˋ ㄕˋ
事實	ㄕˋ ㄕˊ
事實上	ㄕˋ ㄕˊ ㄕㄤˋ
事物	ㄕˋ ㄨˋ
五上	ㄨˇ ㄕㄤˋ
五世	ㄨˇ ㄕˋ
五五	ㄨˇ ㄨˇ
五克	ㄨˇ ㄎㄜˋ
五冊	ㄨˇ ㄘㄜˋ
五十	ㄨˇ ㄕˊ
五客	ㄨˇ ㄎㄜˋ
五師	ㄨˇ ㄕ
五式	ㄨˇ ㄕˋ
五時	ㄨˇ ㄕˊ
五棵	ㄨˇ ㄎㄜ
五次	ㄨˇ ㄘˋ
五毛	ㄨˇ ㄇㄠˊ
五科	ㄨˇ ㄎㄜ
五課	ㄨˇ ㄎㄜˋ
五識	ㄨˇ ㄕˋ
五雙	ㄨˇ ㄕㄨㄤ
五顆	ㄨˇ ㄎㄜ
亡失	ㄨㄤˊ ㄕ
亡母	ㄨㄤˊ ㄇㄨˇ
亡逝	ㄨㄤˊ ㄕˋ
什物	ㄕˊ ㄨˋ
什麼	ㄕㄜˊ ㄇㄜ˙
什麼事	ㄕㄜˊ ㄇㄜ˙ ㄕˋ
使上	ㄕˇ ㄕㄤˋ
促使	ㄘㄨˋ ㄕˇ
俄式	ㄜˊ ㄕˋ
倉促	ㄘㄤ ㄘㄨˋ
倉卒	ㄘㄤ ㄘㄨˋ
倉庫	ㄘㄤ ㄎㄨˋ
倉廒	ㄘㄤ ㄠˊ
倉猝	ㄘㄤ ㄘㄨˋ
側室	ㄘㄜˋ ㄕˋ
側目	ㄘㄜˋ ㄇㄨˋ
側視	ㄘㄜˋ ㄕˋ
傲世	ㄠˋ ㄕˋ
傲物	ㄠˋ ㄨˋ
傲視	ㄠˋ ㄕˋ
傷亡	ㄕㄤ ㄨㄤˊ
傷勢	ㄕㄤ ㄕˋ
傷科	ㄕㄤ ㄎㄜ
克食	ㄎㄜˋ ㄕˊ
冒上	ㄇㄠˋ ㄕㄤˋ
冒冒	ㄇㄠˋ ㄇㄠˋ
冒冒失失	ㄇㄠˋ ㄇㄠˋ ㄕ ㄕ
冒失	ㄇㄠˋ ㄕ
冒往	ㄇㄠˋ ㄨㄤˇ
凹凹	ㄠ ㄠ
凹槽	ㄠ ㄘㄠˊ
刺上	ㄘˋ ㄕㄤˋ
刺傷	ㄘˋ ㄕㄤ
刺刺	ㄘˋ ㄘˋ
刺史	ㄘˋ ㄕˇ
刺客	ㄘˋ ㄎㄜˋ
刺目	ㄘˋ ㄇㄨˋ
刺網	ㄘˋ ㄨㄤˇ
刺鼠	ㄘˋ ㄕㄨˇ
刻上	ㄎㄜ ㄕㄤˋ
刻上	ㄎㄜˋ ㄕㄤˋ
刻苦	ㄎㄜˋ ㄎㄨˇ
努目	ㄋㄨˇ ㄇㄨˋ
務使	ㄨˋ ㄕˇ
務實	ㄨˋ ㄕˊ
勿忘	ㄨˋ ㄨㄤˋ
勿忘草	ㄨˋ ㄨㄤˋ ㄘㄠˇ
勿視	ㄨˋ ㄕˋ
勿食	ㄨˋ ㄕˊ
十世	ㄕˊ ㄕˋ
十五	ㄕˊ ㄨˇ
十克	ㄕˊ ㄎㄜˋ
十冊	ㄕˊ ㄘㄜˋ
十客	ㄕˊ ㄎㄜˋ
十師	ㄕˊ ㄕ
十式	ㄕˊ ㄕˋ
十惡	ㄕˊ ㄜˋ
十時	ㄕˊ ㄕˊ
十束	ㄕˊ ㄕㄨˋ
十框	ㄕˊ ㄎㄨㄤ
十棵	ㄕˊ ㄎㄜ
十次	ㄕˊ ㄘˋ
十科	ㄕˊ ㄎㄜ
十筐	ㄕˊ ㄎㄨㄤ
十課	ㄕˊ ㄎㄜˋ
十顆	ㄕˊ ㄎㄜ
午時	ㄨˇ ㄕˊ
卯上	ㄇㄠˇ ㄕㄤˇ
卯時	ㄇㄠˇ ㄕˊ
叔叔	ㄕㄨˊ ㄕㄨ˙
叔母	ㄕㄨˊ ㄇㄨˇ
可上	ㄎㄜˇ ㄕㄤˋ
可可	ㄎㄜˇ ㄎㄜˇ
可可樹	ㄎㄜˇ ㄎㄜˇ ㄕㄨˋ
可往	ㄎㄜˇ ㄨㄤˇ
可惡	ㄎㄜˇ ㄨˋ
可惱	ㄎㄜˇ ㄋㄠˇ
可數	ㄎㄜˇ ㄕㄨˇ
可是	ㄎㄜˇ ㄕˋ
可望	ㄎㄜˇ ㄨㄤˋ
可無	ㄎㄜˇ ㄨˊ
可藏	ㄎㄜˇ ㄘㄤˊ
可靠	ㄎㄜˇ ㄎㄠˋ
史上	ㄕˇ ㄕㄤˋ
史冊	ㄕˇ ㄘㄜˋ
史實	ㄕˇ ㄕˊ
史書	ㄕˇ ㄕㄨ
史詩	ㄕˇ ㄕ
吳王	ㄨˊ ㄨㄤˊ
吾師	ㄨˊ ㄕ
吾王	ㄨˊ ㄨㄤˊ
哭上	ㄎㄨ ㄕㄤˋ
哭哭	ㄎㄨ ㄎㄨ
哭墓	ㄎㄨ ㄇㄨˋ
哭鬧	ㄎㄨ ㄋㄠˋ
商務	ㄕㄤ ㄨˋ
商務艙	ㄕㄤ ㄨˋ ㄘㄤ
商客	ㄕㄤ ㄎㄜˋ
商數	ㄕㄤ ㄕㄨˋ
商王	ㄕㄤ ㄨㄤˊ
商社	ㄕㄤ ㄕㄜˋ
商科	ㄕㄤ ㄎㄜ
啞啞	ㄜˋ ㄜˋ
嗚嗚	ㄨ ㄨ
嗷嗷	ㄠˊ ㄠˊ
堊室	ㄜˋ ㄕˋ
塾師	ㄕㄨˊ ㄕ
墓室	ㄇㄨˋ ㄕˋ
墓木	ㄇㄨˋ ㄇㄨˋ
失事	ㄕ ㄕˋ
失勢	ㄕ ㄕˋ
失實	ㄕ ㄕˊ
失恃	ㄕ ㄕˋ
失時	ㄕ ㄕˊ
失望	ㄕ ㄨㄤˋ
失物	ㄕ ㄨˋ
失策	ㄕ ㄘㄜˋ
失誤	ㄕ ㄨˋ
